product_name,main_category,rating,discounted_price
"Amazon Basics Wireless Mouse | 2.4 GHz ConnectionNA 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop",Computers&Accessories,5,499
"Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max/ 11/12/ 13 Series and Pad Air/MiniNA Pod & Other Devices (1.1 MeterNA White)",Computers&Accessories,5,399
"Redgear MP35 Speed-Type Gaming Mousepad (Black/Red)",Computers&Accessories,4.6,299
"Logitech M331 Silent Plus Wireless MouseNA 2.4GHz with USB Nano ReceiverNA 1000 DPI Optical TrackingNA 3 ButtonsNA 24 Month Life BatteryNA PC/Mac/Laptop - Black",Computers&Accessories,4.6,1295
"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - SilentNA Slim Computer Mouse with Quiet Click for LaptopNA NotebookNA PC and Mac - Graphite",Computers&Accessories,4.6,1490
"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GBNA 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",Computers&Accessories,4.6,26999
"Logitech G402 Hyperion Fury USB Wired Gaming MouseNA 4NA000 DPINA LightweightNA 8 Programmable ButtonsNA Compatible for PC/Mac - Black",Computers&Accessories,4.6,1995
"Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepad| Cushion Wrist Support & Pain Relief| Suitable for GamingNA ComputerNA LaptopNA Home & Office Non-Slip Rubber Base (Blue)",Computers&Accessories,4.5,425
"RPM Euro Games Gaming Mousepad Speed Type Extended Large (Size - 800 mm x 300 mm x 3 mm)",Computers&Accessories,4.5,299
"Dell MS116 1000Dpi USB Wired Optical MouseNA Led TrackingNA Scrolling WheelNA Plug and Play.",Computers&Accessories,4.5,299
"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed SyncingNA Nylon Braided 1M length with LED Indicator Compatible For LaptopNA MacbookNA Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories,4.5,349
"Lenovo 600 Bluetooth 5.0 Silent Mouse: CompactNA PortableNA Dongle-Free Multi-Device connectivity with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery Life: up to 1 yr",Computers&Accessories,4.5,1439
"AirCase Rugged Hard Drive Case for 2.5-inch Western DigitalNA SeagateNA ToshibaNA Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger EarphoneNA Waterproof (Black)",Computers&Accessories,4.5,299
"Logitech M235 Wireless MouseNA 1000 DPI Optical TrackingNA 12 Month Life BatteryNA Compatible with WindowsNA MacNA Chromebook/PC/Laptop",Computers&Accessories,4.5,699
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For IphoneNA Ipad And Ipod. Fast Charging Lightning CableNA 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,970
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For IphoneNA Ipad And Ipod. Fast Charging Lightning CableNA 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,970
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For IphoneNA Ipad And Ipod. Fast Charging Lightning CableNA 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,970
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal ComputerNA Printer- 6 Feet (1.8 Meters)NA Black",Computers&Accessories,4.5,209
"SupCares Laptop Stand 7 Height AdjustableNA AluminiumNA VentilatedNA FoldableNA Portable Laptop Holder for Desk & Table Mount Upto 15.6 inch Laptop with Carry Pouch (Silver)",Computers&Accessories,4.5,499
"Lapster 65W compatible for OnePlus Dash Warp Charge Cable NA type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices ? RedNA 1 Meter",Computers&Accessories,4.5,199
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal ComputerNA Printer (BlackNA 9.8 Feet/3 Meters)",Computers&Accessories,4.5,199
"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed SyncingNA Nylon Braided 1M length with LED Indicator Compatible For LaptopNA MacbookNA Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories,4.5,349
"Lapster 65W compatible for OnePlus Dash Warp Charge Cable NA type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices ? RedNA 1 Meter",Computers&Accessories,4.5,199
"Crucial BX500 240GB 3D NAND SATA 6.35 cm (2.5-inch) SSD (CT240BX500SSD1)",Computers&Accessories,4.5,1815
"Belkin USB C to USB-C Fast Charging Type C CableNA 60W PDNA 3.3 feet (1 meter) for LaptopNA Personal ComputerNA TabletNA Smartphone - WhiteNA USB-IF Certified",Computers&Accessories,4.5,599
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal ComputerNA Printer- 6 Feet (1.8 Meters)NA Black",Computers&Accessories,4.5,209
"Seagate One Touch 2TB External HDD with Password Protection ? BlackNA for Windows and MacNA with 3 yr Data Recovery ServicesNA and 4 Months Adobe CC Photography (STKY2000400)",Computers&Accessories,4.5,5799
"Gizga Essentials Hard Drive Case ShellNA 6.35cm/2.5-inchNA Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard DiskNA Water Resistance MaterialNA Black",Computers&Accessories,4.5,199
"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery ServicesNA Portable Hard Drive (STKM1000400)",Computers&Accessories,4.5,4098
"TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play",Computers&Accessories,4.5,1099
"Logitech K380 Wireless Multi-Device Keyboard for WindowsNA Apple iOSNA Apple TV Android or ChromeNA BluetoothNA Compact Space-Saving DesignNA PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)",Computers&Accessories,4.5,2640
"Belkin USB C to USB-C Fast Charging Type C CableNA 60W PDNA 3.3 feet (1 meter) for LaptopNA Personal ComputerNA TabletNA Smartphone - BlackNA USB-IF Certified",Computers&Accessories,4.5,599
"Scarters Mouse PadNA Desk Mat Extended for Work from Home/Office/Gaming | Vegan PU Leather | Anti-SkidNA Anti-SlipNA Reversible Splash-Proof ? Deskspread ~ Navy Blue & Yellow",Computers&Accessories,4.5,999
"TP-Link UE300C USB Type-C to RJ45 Gigabit Ethernet Network Adapter/RJ45 LAN Wired Adapter for UltrabookNA ChromebookNA LaptopNA DesktopNA Plug & PlayNA USB 3.0NA Foldable and Portable Design",Computers&Accessories,4.5,1199
"ESR Screen Protector Compatible with iPad Pro 11 Inch (2022/2021/2020/2018) and iPad Air 5/4 (2022/2020NA 10.9 Inch)NA Tempered-Glass Film with Alignment FrameNA Scratch ResistantNA HD ClarityNA 2 Pack",Computers&Accessories,4.5,1234
"AmazonBasics USB 2.0 Extension Cable for Personal ComputerNA PrinterNA 2-Pack - A-Male to A-Female - 3.3 Feet (1 MeterNA Black)",Computers&Accessories,4.5,299
"AmazonBasics New Release Nylon USB-A to Lightning Cable CordNA MFi Certified Charger for Apple iPhoneNA iPadNA SilverNA 6-Ft",Computers&Accessories,4.5,999
"Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A",Computers&Accessories,4.5,1792
"Cuzor 12V Mini ups for WiFi Router | Power Backup up to 4 Hours | Replaceable Battery | Ups for Wi-Fi Router and Modem | Ups for Router up to 2A | ups for uninterrupted wi-fi",Computers&Accessories,4.5,1499
"Logitech G102 USB Light Sync Gaming Mouse with Customizable RGB LightingNA 6 Programmable ButtonsNA Gaming Grade SensorNA 8K DPI TrackingNA 16.8mn ColorNA Light Weight - Black",Computers&Accessories,4.5,1495
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal ComputerNA Printer (BlackNA 9.8 Feet/3 Meters)",Computers&Accessories,4.5,199
"Redragon K617 Fizz 60% Wired RGB Gaming KeyboardNA 61 Keys Compact Mechanical Keyboard w/White and Grey Color KeycapsNA Linear Red SwitchNA Pro Driver/Software Supported",Computers&Accessories,4.5,2649
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBookNA HPNA DellNA Lenovo & All Other Notebook (Silver)",Computers&Accessories,4.4,599
"Lenovo 300 Wired Plug & Play USB MouseNA High Resolution 1600 DPI Optical SensorNA 3-Button Design with clickable Scroll WheelNA AmbidextrousNA Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",Computers&Accessories,4.4,289
"Logitech B170 Wireless MouseNA 2.4 GHz with USB Nano ReceiverNA Optical TrackingNA 12-Months Battery LifeNA AmbidextrousNA PC/Mac/Laptop - Black",Computers&Accessories,4.4,599
"AirCase Protective Laptop Bag Sleeve fits Upto 13.3" Laptop/ MacBookNA Wrinkle FreeNA PaddedNA Waterproof Light Neoprene case Cover PouchNA for Men & WomenNA Black- 6 Months Warranty"",Computers&Accessories,4.4,449
"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For IphoneNA Ipad And Ipod. Fast Charging Lightning CableNA 3.9 Feet (1.2M) - Black",Computers&Accessories,4.4,970
"MI Braided USB Type-C Cable for Charging Adapter (Red)",Computers&Accessories,4.4,349
