product_name,actual_price,discounted_price,discount_percentage,rating
"rts [2 Pack] Mini USB C Type C Adapter PlugNA Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhoneNA Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",4999,294,94,4.3
"Fire-Boltt Ninja Call Pro Plus 1.83" Smart Watch with Bluetooth CallingNA AI Voice AssistanceNA 100 Sports Modes IP67 RatingNA 240*280 Pixel High Resolution"",19999,1799,91,4.2
"Fire-Boltt Ninja Call Pro Plus 1.83" Smart Watch with Bluetooth CallingNA AI Voice AssistanceNA 100 Sports Modes IP67 RatingNA 240*280 Pixel High Resolution"",19999,1799,91,4.2
"Fire-Boltt Ninja Call Pro Plus 1.83" Smart Watch with Bluetooth CallingNA AI Voice AssistanceNA 100 Sports Modes IP67 RatingNA 240*280 Pixel High Resolution"",19999,1799,91,4.2
"Fire-Boltt Ninja Call Pro Plus 1.83" Smart Watch with Bluetooth CallingNA AI Voice AssistanceNA 100 Sports Modes IP67 RatingNA 240*280 Pixel High Resolution"",19999,1799,91,4.2
"Fire-Boltt Ninja Call Pro Plus 1.83" Smart Watch with Bluetooth CallingNA AI Voice AssistanceNA 100 Sports Modes IP67 RatingNA 240*280 Pixel High Resolution"",19999,1799,91,4.2
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13NA 12NA11NA XNA 8NA 7NA 6NA 5NA iPad AirNA ProNA Mini & iOS Devices",1899,199,90,3.9
"Sounce Protective Case Cover Compatible Boat Xtend Overall Protective Case TPU HD Clear Ultra-Thin Cover with Unbreakable Screen Guard",1899,199,90,4
"Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 (Cable Protector (12 Units))",999,99,90,4
"LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 (12 Pieces)",999,99,90,4.1
