product_name,main_category,actual_price,discounted_price,discount_percentage,rating,rating_count
"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All SmartphonesNA TabsNA KindleNA iPad (Black)",Electronics,1499,269,82,4.5,28978
"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All SmartphonesNA TabsNA KindleNA iPad (Moonlight Silver)",Electronics,1499,314,79,4.5,28978
"Instant Pot Air FryerNA Vortex 2QTNA Touch Control PanelNA 360? EvenCrisp? TechnologyNA Uses 95 % less OilNA 4-in-1 Appliance: Air FryNA RoastNA BakeNA Reheat (Vortex 1.97LitreNA Black)",Home&Kitchen,20049,4995,75,4.8,3964
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal ComputerNA Printer (BlackNA 9.8 Feet/3 Meters)",Computers&Accessories,750,199,73,4.5,74976
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal ComputerNA Printer (BlackNA 9.8 Feet/3 Meters)",Computers&Accessories,750,199,73,4.5,74976
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal ComputerNA Printer- 6 Feet (1.8 Meters)NA Black",Computers&Accessories,695,209,70,4.5,107687
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal ComputerNA Printer- 6 Feet (1.8 Meters)NA Black",Computers&Accessories,695,209,70,4.5,107686
"RPM Euro Games Gaming Mousepad Speed Type Extended Large (Size - 800 mm x 300 mm x 3 mm)",Computers&Accessories,990,299,70,4.5,2453
"Gizga Essentials Hard Drive Case ShellNA 6.35cm/2.5-inchNA Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard DiskNA Water Resistance MaterialNA Black",Computers&Accessories,599,199,67,4.5,13568
"Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone 14/13/13 Pro - 2 Pack",Electronics,2899,999,66,4.6,26603
