product_name,main_category,rating,rating_count,discounted_price,discount_percentage
"AmazonBasics Flexible Premium HDMI Cable (BlackNA 4K@60HzNA 18Gbps)NA 3-Foot",Electronics,4.4,426973,219,69
"Amazon Basics High-Speed HDMI CableNA 6 Feet - Supports EthernetNA 3DNA 4K videoNABlack",Electronics,4.4,426973,309,35
"Amazon Basics High-Speed HDMI CableNA 6 Feet (2-Pack)NABlack",Electronics,4.4,426973,309,78
"AmazonBasics Flexible Premium HDMI Cable (BlackNA 4K@60HzNA 18Gbps)NA 3-Foot",Electronics,4.4,426972,219,69
"boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red)",Electronics,4.1,363713,379,62
"boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink)",Electronics,4.1,363713,349,65
"boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black)",Electronics,4.1,363711,365,63
"Redmi 9 Activ (Carbon BlackNA 4GB RAMNA 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",Electronics,4.1,313836,8499,23
"Redmi 9A Sport (Coral GreenNA 2GB RAMNA 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics,4.1,313836,6499,24
"Redmi 9A Sport (Carbon BlackNA 2GB RAMNA 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics,4.1,313832,6499,19
